               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.034748,            0.027517,                   0,             0.90088,             0.89352,             0.92649,             0.41319,            0.039377,             0.04099,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.037484,            0.029825,                   0,             0.92626,             0.89424,             0.93206,             0.40759,             0.04002,            0.041236,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.034924,            0.028106,                   0,             0.89579,             0.91525,             0.93928,             0.40298,            0.040874,             0.04101,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,            0.037652,            0.029276,                   0,             0.91996,             0.92542,             0.94932,             0.40672,            0.039622,            0.040714,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.036676,            0.028897,                   0,             0.92438,             0.91157,             0.93928,             0.38949,            0.041301,            0.041435,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,              0.0388,            0.030548,                   0,             0.90061,             0.89831,             0.92424,             0.40909,            0.040457,            0.040074,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.037367,            0.028726,                   0,             0.93767,             0.89153,             0.94709,             0.41229,            0.040695,            0.039703,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.036283,             0.03101,                   0,             0.92035,             0.90094,              0.9401,             0.39623,            0.043225,            0.040599,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.037641,            0.030358,                   0,             0.92958,             0.89831,               0.937,             0.39269,            0.044675,            0.040735,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.038465,            0.026867,                   0,             0.91591,             0.91186,             0.93455,             0.41102,            0.041882,            0.041035,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.036085,            0.028572,                   0,             0.92703,             0.89831,             0.93501,             0.42167,            0.041133,            0.041143,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.035695,             0.02905,                   0,               0.935,             0.87777,             0.92847,               0.415,            0.039755,            0.040883,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.036672,            0.029103,                   0,             0.91968,             0.87458,             0.91178,             0.40266,             0.04009,            0.040596,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,            0.035607,            0.031281,                   0,             0.93583,             0.88988,             0.93618,             0.39677,            0.039801,            0.041637,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,             0.03782,            0.029245,                   0,             0.91568,             0.89831,             0.92993,             0.39671,            0.039651,            0.041899,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,             0.03521,            0.026621,                   0,             0.91205,             0.91394,             0.93659,             0.39481,            0.041206,            0.041888,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.038542,             0.02823,                   0,               0.924,             0.90668,             0.93877,             0.40082,            0.042846,            0.041356,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.039942,            0.027649,                   0,             0.94046,              0.9103,             0.94742,             0.41101,            0.040536,             0.04092,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,             0.03299,            0.028112,                   0,             0.95065,             0.91428,             0.94651,             0.40063,            0.042526,            0.041617,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.036318,            0.030416,                   0,             0.92609,             0.89194,             0.92468,             0.40253,            0.042368,            0.042821,                   0,            0.008515,            0.008515,            0.008515
                 152,            0.038332,            0.028146,                   0,             0.92763,             0.91251,             0.93521,             0.42238,            0.038952,            0.039797,                   0,           0.0085051,           0.0085051,           0.0085051
                 153,            0.035171,            0.029219,                   0,              0.9377,             0.91837,             0.95851,             0.41359,            0.039161,            0.040297,                   0,           0.0084952,           0.0084952,           0.0084952
                 154,            0.036926,            0.027616,                   0,             0.94263,             0.89153,             0.93679,               0.413,             0.03842,            0.040091,                   0,           0.0084853,           0.0084853,           0.0084853
                 155,             0.03496,            0.030179,                   0,             0.91182,             0.91864,             0.93674,             0.39901,            0.040137,            0.041058,                   0,           0.0084754,           0.0084754,           0.0084754
                 156,            0.033439,            0.027084,                   0,              0.9221,              0.9229,             0.93475,             0.40201,             0.04017,            0.041125,                   0,           0.0084655,           0.0084655,           0.0084655
                 157,            0.035977,            0.029024,                   0,             0.93518,             0.90847,             0.93775,             0.40678,            0.038759,            0.040079,                   0,           0.0084556,           0.0084556,           0.0084556
                 158,            0.034708,            0.028175,                   0,             0.90889,             0.91303,             0.92931,             0.39647,            0.042293,             0.04151,                   0,           0.0084457,           0.0084457,           0.0084457
